Park,County,Size in acres,Census link
Lake Mineral Wells State Park,Parker,"3,282.50","https://data.census.gov/profile/Parker_County,_Texas?g=050XX00US48367"
Lake Somerville State Park,Burleson,"5,520","https://data.census.gov/profile/Burleson_County,_Texas?g=050XX00US48051"
Lake Somerville State Park,Lee,"5,520","https://data.census.gov/profile/Burleson_County,_Texas?g=050XX00US48051"
Lake Tawakoni State Park,Hunt,376,"https://data.census.gov/profile/Hunt_County,_Texas?g=050XX00US48231"
Lake Whitney State Park,Hill,"1,280.70","https://data.census.gov/profile/Hill_County,_Texas?g=050XX00US48217"
Lockhart State Park,Caldwell,263.7,"https://data.census.gov/profile/Caldwell_County,_Texas?g=050XX00US48055"
Longhorn Cavern State Park,Burnet,645.62,"https://data.census.gov/profile/Burnet_County,_Texas?g=050XX00US48053"
LBJ State Park,Gillespie,733,"https://data.census.gov/profile/Gillespie_County,_Texas?g=050XX00US48171"
Martin Creek Lake State Park,Rusk,286.9,"https://data.census.gov/profile/Rusk_County,_Texas?g=050XX00US48401"
Martin Dies Jr. State Park,Jasper,730,"https://data.census.gov/profile/Jasper_County,_Texas?g=050XX00US48241"
Martin Dies Jr. State Park,Tyler,730,"https://data.census.gov/profile/Tyler_County,_Texas?g=050XX00US48457"
McKinney Falls State Park,Travis,744.4,"https://data.census.gov/profile/Travis_County,_Texas?g=050XX00US48453"
Meridian State Park ,Bosque,505.4,"https://data.census.gov/profile/Bosque_County,_Texas?g=050XX00US48035"
Mission Tejas State Park,Houston,660,"https://data.census.gov/profile/Houston_County,_Texas?g=050XX00US48225"
Monahans Sandhills State Park,Ward,"3,840","https://data.census.gov/profile/Ward_County,_Texas?g=050XX00US48475"
Monahans Sandhills State Park,Winkler,"3,840","https://data.census.gov/profile/Winkler_County,_Texas?g=050XX00US48495"
Mother Neff State Park,Coryell,259,"https://data.census.gov/profile/Coryell_County,_Texas?g=050XX00US48099"
Mustang Island State Park,Nueces,"3,954","https://data.census.gov/profile/Nueces_County,_Texas?g=050XX00US48355"
Old Tunnel State Park,Kendall,16.1,"https://data.census.gov/profile/Kendall_County,_Texas?g=050XX00US48259"
Palmetto State Park,Gonzales,270.3,"https://data.census.gov/profile/Gonzales_County,_Texas?g=050XX00US48177"
Palo Duro Canyon State Park,Randall,"28,000","https://data.census.gov/profile/Randall_County,_Texas?g=050XX00US48381"
Perdernales Falls State Park,Blanco,"5,211.70","https://data.census.gov/profile/Blanco_County,_Texas?g=050XX00US48031"
Possum Kingdom State Park,Palo Pinto,"1,528.70","https://data.census.gov/profile/Palo_Pinto_County,_Texas?g=050XX00US48363"
Ray Roberts Lake State Park,Denton,"29,350","https://data.census.gov/profile/Denton_County,_Texas?g=050XX00US48121"
Ray Roberts Lake State Park,Cooke,"29,350","https://data.census.gov/profile/Cooke_County,_Texas?g=050XX00US48097"
Ray Roberts Lake State Park,Grayson,"29,350","https://data.census.gov/profile/Grayson_County,_Texas?g=050XX00US48181"
Resaca de la Palma State Park,Cameron,"1,200","https://data.census.gov/profile/Cameron_County,_Texas?g=050XX00US48061"
San Angelo State Park,Tom Green,"7,677","https://data.census.gov/profile/Tom_Green_County,_Texas?g=050XX00US48451"
Sea Rim State Park,Jefferson,"4,141","https://data.census.gov/profile/Jefferson_County,_Texas?g=050XX00US48245"
Seminole Canyon State Park,Val Verde,"2,172.50","https://data.census.gov/profile/Val_Verde_County,_Texas?g=050XX00US48465"
Sheldon Lake State Park,Harrison,"1,200","https://data.census.gov/profile/Harrison_County,_Texas?g=050XX00US48203"
South Llano River State Park,Kimble,"2,600","https://data.census.gov/profile/Kimble_County,_Texas?g=050XX00US48267"
Stephen F. Austin State Park,Austin,663.3,"https://data.census.gov/profile/Austin_County,_Texas?g=050XX00US48015"
Tyler State Park,Smith,985.5,"https://data.census.gov/profile/Smith_County,_Texas?g=050XX00US48423"
Village Creek State Park,Hardin,"1,090","https://data.census.gov/profile/Hardin_County,_Texas?g=050XX00US48199"
