School_Name,City,County_Name,School_Enrollment
PINE TREE H S,Longview,GREGG COUNTY,1330
SABINE H S,Gladewater,GREGG COUNTY,441
SPRING HILL H S,Longview,GREGG COUNTY,566
WHITE OAK H S,White Oak,GREGG COUNTY,428
NAVASOTA H S,Navasota,GRIMES COUNTY,805
W B BIZZELL ACADEMY,Navasota,GRIMES COUNTY,30
SEGUIN H S,Seguin,GUADALUPE COUNTY,2049
MERCER & BLUMBERG LRN CTR,Seguin,GUADALUPE COUNTY,70
SAMUEL CLEMENS H S,Schertz,GUADALUPE COUNTY,2590
ALLISON L STEELE E L C,Schertz,GUADALUPE COUNTY,84
BYRON P STEELE II H S,Cibolo,GUADALUPE COUNTY,2610
NAVARRO H S,Seguin,GUADALUPE COUNTY,619
MARION H S,Marion,GUADALUPE COUNTY,469
ABERNATHY H S,Abernathy,HALE COUNTY,252
HALE CENTER H S,Hale Center,HALE COUNTY,175
PLAINVIEW H S,Plainview,HALE COUNTY,1444
MEMPHIS H S,Memphis,HALL COUNTY,133
HAMILTON H S,Hamilton,HAMILTON COUNTY,221
GRUVER H S,Gruver,HANSFORD COUNTY,170
SPEARMAN H S,Spearman,HANSFORD COUNTY,264
QUANAH H S,Quanah,HARDEMAN COUNTY,161
KOUNTZE H S,Kountze,HARDIN COUNTY,330
SILSBEE H S,Silsbee,HARDIN COUNTY,782
HARDIN-JEFFERSON H S,Sour Lake,HARDIN COUNTY,696
LUMBERTON H S,Lumberton,HARDIN COUNTY,1244
FORTIS ACADEMY,Houston,HARRIS COUNTY,0
EARLY COLLEGE T-STEM ACADEMY,Houston,HARRIS COUNTY,279
HOUSTON HEIGHTS CHARTER SCHOOL,Houston,HARRIS COUNTY,178
CALVIN NELMS H S,Katy,HARRIS COUNTY,165
EMPOWERMENT H S,Houston,HARRIS COUNTY,351
HARMONY SCIENCE ACADEMY-HOUSTON,Houston,HARRIS COUNTY,694
HARMONY SCHOOL OF ADVANCEMENT-HOUSTON,Houston,HARRIS COUNTY,708
HARMONY SCHOOL OF INNOVATION-SUGAR LAND,Sugar Land,HARRIS COUNTY,710
THE PRO-VISION ACADEMY,Houston,HARRIS COUNTY,202
ALDINE H S,Houston,HARRIS COUNTY,2863
CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,Houston,HARRIS COUNTY,799
MACARTHUR H S,Houston,HARRIS COUNTY,3559
EISENHOWER H S,Houston,HARRIS COUNTY,2791
NIMITZ H S,Houston,HARRIS COUNTY,2656
VICTORY EARLY COLLEGE H S,Houston,HARRIS COUNTY,420
DAVIS H S ALDINE,Houston,HARRIS COUNTY,3298
BLANSON CTE H S,Houston,HARRIS COUNTY,1355
AVALOS P-TECH SCHOOL,Houston,HARRIS COUNTY,254
HASTINGS H S,Houston,HARRIS COUNTY,4134
ELSIK H S,Houston,HARRIS COUNTY,4224
TAYLOR H S,Houston,HARRIS COUNTY,2975
KERR H S,Houston,HARRIS COUNTY,809
CROSSROADS,Houston,HARRIS COUNTY,18
ALIEF EARLY COLLEGE H S,Houston,HARRIS COUNTY,401
CHANNELVIEW H S,Channelview,HARRIS COUNTY,2844
CROSBY H S,Crosby,HARRIS COUNTY,1857
CROSBY CROSSROADS ACADEMY,Crosby,HARRIS COUNTY,22
CY-FAIR H S,Cypress,HARRIS COUNTY,3303
JERSEY VILLAGE H S,Houston,HARRIS COUNTY,3346
CYPRESS CREEK H S,Houston,HARRIS COUNTY,3245
LANGHAM CREEK H S,Houston,HARRIS COUNTY,2839
CYPRESS FALLS H S,Houston,HARRIS COUNTY,2893
CYPRESS SPRINGS H S,Cypress,HARRIS COUNTY,2499
CYPRESS RIDGE H S,Houston,HARRIS COUNTY,3086
CYPRESS WOODS H S,Cypress,HARRIS COUNTY,3240
CYPRESS RANCH H S,Cypress,HARRIS COUNTY,3445
CYPRESS LAKES H S,Katy,HARRIS COUNTY,3133
CYPRESS PARK H S,Cypress,HARRIS COUNTY,2727
BRIDGELAND H S,Cypress,HARRIS COUNTY,3270
DEER PARK H S,Deer Park,HARRIS COUNTY,4013
GALENA PARK H S,Galena Park,HARRIS COUNTY,1876
NORTH SHORE SENIOR HIGH,Houston,HARRIS COUNTY,4602
GALENA PARK ISD CAREER & TECHNICAL ECHS,Houston,HARRIS COUNTY,477
LEE H S,Baytown,HARRIS COUNTY,1786
STERLING H S,Baytown,HARRIS COUNTY,2045
GOOSE CREEK MEMORIAL,Baytown,HARRIS COUNTY,2165
IMPACT EARLY COLLEGE H S,Baytown,HARRIS COUNTY,411
STUART CAREER TECH H S,Baytown,HARRIS COUNTY,347
AUSTIN H S,Houston,HARRIS COUNTY,1520
BELLAIRE H S,Bellaire,HARRIS COUNTY,3218
NORTHSIDE H S,Houston,HARRIS COUNTY,1431
FURR H S,Houston,HARRIS COUNTY,1113
JONES FUTURES ACADEMY,Houston,HARRIS COUNTY,342
KASHMERE H S,Houston,HARRIS COUNTY,830
LAMAR H S,Houston,HARRIS COUNTY,2849
WISDOM H S,Houston,HARRIS COUNTY,1856
MADISON H S,Houston,HARRIS COUNTY,1834
MILBY H S,Houston,HARRIS COUNTY,2154
HEIGHTS H S,Houston,HARRIS COUNTY,2450
STERLING H S,Houston,HARRIS COUNTY,1644
WALTRIP H S,Houston,HARRIS COUNTY,1853
WASHINGTON B T H S,Houston,HARRIS COUNTY,760
WESTBURY H S,Houston,HARRIS COUNTY,2393
WHEATLEY H S,Houston,HARRIS COUNTY,785
WORTHING H S,Houston,HARRIS COUNTY,830
YATES H S,Houston,HARRIS COUNTY,822
SHARPSTOWN H S,Houston,HARRIS COUNTY,1698
SCARBOROUGH H S,Houston,HARRIS COUNTY,731
KINDER H S FOR PERFORMING AND VISUAL ARTS,Houston,HARRIS COUNTY,797
DEBAKEY H S FOR HEALTH PROF,Houston,HARRIS COUNTY,939
CHAVEZ H S,Houston,HARRIS COUNTY,2560
H S FOR LAW AND JUSTICE,Houston,HARRIS COUNTY,488
WESTSIDE H S,Houston,HARRIS COUNTY,2868
EASTWOOD ACADEMY,Houston,HARRIS COUNTY,441
NORTH HOUSTON EARLY COLLEGE H S,Houston,HARRIS COUNTY,489
HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,Houston,HARRIS COUNTY,2654
MOUNT CARMEL ACADEMY,Houston,HARRIS COUNTY,286
ENERGIZED FOR STEM ACADEMY H S,Houston,HARRIS COUNTY,611
CARNEGIE VANGUARD H S,Houston,HARRIS COUNTY,925
CHALLENGE EARLY COLLEGE H S,Houston,HARRIS COUNTY,486
EAST EARLY COLLEGE H S,Houston,HARRIS COUNTY,446
HOUSTON ACADEMY FOR INTERNATIONAL STUDIES,Houston,HARRIS COUNTY,499
ENERGY INSTITUTE H S,Houston,HARRIS COUNTY,764
NORTH FOREST H S,Houston,HARRIS COUNTY,969
MIDDLE COLLEGE H S AT HCC GULFTON,Houston,HARRIS COUNTY,128
MIDDLE COLLEGE H S AT HCC FRAGA,Houston,HARRIS COUNTY,103
SOUTH EARLY COLLEGE H S,Houston,HARRIS COUNTY,427
HUMBLE H S,Humble,HARRIS COUNTY,2734
KINGWOOD H S,Kingwood,HARRIS COUNTY,2807
GUY M SCONZO EARLY COLLEGE H S,Humble,HARRIS COUNTY,421
ATASCOCITA H S,Humble,HARRIS COUNTY,3686
KINGWOOD PARK H S,Kingwood,HARRIS COUNTY,1876
SUMMER CREEK H S,Houston,HARRIS COUNTY,2927
H S #7,Humble,HARRIS COUNTY,0
KATY H S,Katy,HARRIS COUNTY,3180
TAYLOR H S,Katy,HARRIS COUNTY,3014
ARTHUR MILLER CAREER CENTER,Katy,HARRIS COUNTY,0
MAYDE CREEK H S,Houston,HARRIS COUNTY,2799
CINCO RANCH H S,Katy,HARRIS COUNTY,3401
MORTON RANCH H S,Katy,HARRIS COUNTY,2529
SEVEN LAKES H S,Katy,HARRIS COUNTY,3678
TOMPKINS H S,Katy,HARRIS COUNTY,3484
PAETOW H S,Katy,HARRIS COUNTY,2551
JORDAN H S,Fulshear,HARRIS COUNTY,1127
NEW H S #15,Katy,HARRIS COUNTY,0
KLEIN H S,Spring,HARRIS COUNTY,3190
KLEIN FOREST H S,Houston,HARRIS COUNTY,3487
KLEIN OAK H S,Spring,HARRIS COUNTY,3552
KLEIN COLLINS H S,Spring,HARRIS COUNTY,3328
KLEIN CAIN H S,Houston,HARRIS COUNTY,3777
VISTAS H S,Houston,HARRIS COUNTY,0
LA PORTE H S,La Porte,HARRIS COUNTY,1958
THE ACADEMY OF VIOLA DEWALT H S,La Porte,HARRIS COUNTY,213
PASADENA H S,Pasadena,HARRIS COUNTY,2272
SAM RAYBURN H S,Pasadena,HARRIS COUNTY,2735
SOUTH HOUSTON H S,South Houston,HARRIS COUNTY,2231
DOBIE H S,Houston,HARRIS COUNTY,3877
PASADENA MEMORIAL H S,Pasadena,HARRIS COUNTY,3049
THE SUMMIT (HIGH SCHOOL),Pasadena,HARRIS COUNTY,48
SPRING H S,Spring,HARRIS COUNTY,2778
WESTFIELD H S,Houston,HARRIS COUNTY,2838
ANDY DEKANEY H S,Houston,HARRIS COUNTY,2192
CARL WUNSCHE SR H S,Spring,HARRIS COUNTY,1499
SPRING EARLY COLLEGE ACADEMY,Houston,HARRIS COUNTY,429
MEMORIAL H S,Houston,HARRIS COUNTY,2577
SPRING WOODS H S,Houston,HARRIS COUNTY,2086
NORTHBROOK H S,Houston,HARRIS COUNTY,2573
STRATFORD H S,Houston,HARRIS COUNTY,2192
HAROLD D GUTHRIE CENTER FOR EXCELLENCE,Houston,HARRIS COUNTY,0
TOMBALL H S,Tomball,HARRIS COUNTY,2341
TOMBALL MEMORIAL H S,Tomball,HARRIS COUNTY,2555
TOMBALL STAR ACADEMY,Tomball,HARRIS COUNTY,401
C E KING H S,Houston,HARRIS COUNTY,2939
KASE ACADEMY,Houston,HARRIS COUNTY,86
HARGRAVE H S,Huffman,HARRIS COUNTY,1074
MARSHALL H S,Marshall,HARRISON COUNTY,1391
WASKOM H S,Waskom,HARRISON COUNTY,275
HALLSVILLE H S,Hallsville,HARRISON COUNTY,1413
HARLETON H S,Harleton,HARRISON COUNTY,245
ELYSIAN FIELDS H S,Waskom,HARRISON COUNTY,264
HASKELL H S,Haskell,HASKELL COUNTY,161
KATHERINE ANNE PORTER SCHOOL,Wimberley,HAYS COUNTY,103
SAN MARCOS H S,San Marcos,HAYS COUNTY,2381
DRIPPING SPRINGS H S,Dripping Springs,HAYS COUNTY,2167
WIMBERLEY H S,Wimberley,HAYS COUNTY,815
JACK C HAYS H S,Buda,HAYS COUNTY,2251
LIVE OAK ACADEMY,Buda,HAYS COUNTY,185
LEHMAN H S,Kyle,HAYS COUNTY,2116
MOE AND GENE JOHNSON H S,Buda,HAYS COUNTY,1810
CANADIAN H S,Canadian,HEMPHILL COUNTY,271
ATHENS H S,Athens,HENDERSON COUNTY,923
BROWNSBORO H S,Brownsboro,HENDERSON COUNTY,737
CROSS ROADS H S,Athens,HENDERSON COUNTY,146
EUSTACE H S,Eustace,HENDERSON COUNTY,443
MALAKOFF H S,Malakoff,HENDERSON COUNTY,365
GATEWAY,Malakoff,HENDERSON COUNTY,0
LAPOYNOR H S,Larue,HENDERSON COUNTY,148
HORIZON H S HARLINGEN,Harlingen,HIDALGO COUNTY,0
HORIZON H S WESLACO,Weslaco,HIDALGO COUNTY,0
HORIZON H S MCALLEN,Mcallen,HIDALGO COUNTY,0
TRIUMPH PUBLIC HIGH SCHOOLS-MERCEDES,Mercedes,HIDALGO COUNTY,136
TRIUMPH PUBLIC HIGH SCHOOLS-MCALLEN,Mcallen,HIDALGO COUNTY,110
TRIUMPH PUBLIC HIGH SCHOOLS-SAN BENITO,San Benito,HIDALGO COUNTY,149
TRIUMPH PUBLIC HIGH SCHOOLS-BROWNSVILLE,Brownsville,HIDALGO COUNTY,103
DONNA H S,Donna,HIDALGO COUNTY,2042
3D ACADEMY,Donna,HIDALGO COUNTY,127
DONNA NORTH H S,Donna,HIDALGO COUNTY,2135
EDCOUCH-ELSA H S,Elsa,HIDALGO COUNTY,1381
EDCOUCH-ELSA H S ACADEMY,Elsa,HIDALGO COUNTY,27
EDINBURG H S,Edinburg,HIDALGO COUNTY,2525
ECONOMEDES H S,Edinburg,HIDALGO COUNTY,2750
EDINBURG NORTH H S,Edinburg,HIDALGO COUNTY,2755
ROBERT R VELA H S,Edinburg,HIDALGO COUNTY,2285
HIDALGO EARLY COLLEGE H S,Hidalgo,HIDALGO COUNTY,1051
MCALLEN H S,Mcallen,HIDALGO COUNTY,2218
MEMORIAL H S,Mcallen,HIDALGO COUNTY,2189
ROWE H S,Mcallen,HIDALGO COUNTY,2063
LAMAR ACADEMY,Mcallen,HIDALGO COUNTY,93
ACHIEVE EARLY COLLEGE H S,Mcallen,HIDALGO COUNTY,444
MERCEDES H S,Mercedes,HIDALGO COUNTY,1019
MERCEDES ACADEMIC ACADEMY,Mercedes,HIDALGO COUNTY,54
MERCEDES EARLY COLLEGE ACADEMY,Mercedes,HIDALGO COUNTY,416
MISSION H S,Mission,HIDALGO COUNTY,2298
VETERANS MEMORIAL H S,Mission,HIDALGO COUNTY,1861
MISSION COLLEGIATE H S,Mission,HIDALGO COUNTY,462
PSJA EARLY COLLEGE H S,San Juan,HIDALGO COUNTY,2497
PSJA MEMORIAL EARLY COLLEGE H S,Alamo,HIDALGO COUNTY,1822
PSJA NORTH EARLY COLLEGE H S,Pharr,HIDALGO COUNTY,2155
ELVIS J BALLEW H S,Pharr,HIDALGO COUNTY,192
PSJA SOUTHWEST EARLY COLLEGE H S,Pharr,HIDALGO COUNTY,1767
PSJA THOMAS JEFFERSON T-STEM EARLY COLLEGE H S,San Juan,HIDALGO COUNTY,671
PROGRESO H S,Weslaco,HIDALGO COUNTY,505
SHARYLAND H S,Mission,HIDALGO COUNTY,1525
SHARYLAND PIONEER H S,Mission,HIDALGO COUNTY,1516
SHARYLAND ADVANCED ACADEMIC ACADEMY,Mission,HIDALGO COUNTY,435
LA JOYA H S,La Joya,HIDALGO COUNTY,3015
JUAREZ-LINCOLN H S,Mission,HIDALGO COUNTY,2243
LA JOYA PALMVIEW H S,Mission,HIDALGO COUNTY,2246
JIMMY CARTER EARLY COLLEGE H S,La Joya,HIDALGO COUNTY,408
THELMA ROSA SALINAS STEM EARLY COLLEGE H S,La Joya,HIDALGO COUNTY,496
WESLACO H S,Weslaco,HIDALGO COUNTY,2564
SOUTH PALM GARDENS H S,Mercedes,HIDALGO COUNTY,68
WESLACO EAST H S,Weslaco,HIDALGO COUNTY,2002
WESLACO 21ST CENTURY CTE EARLY COLLEGE H S,Weslaco,HIDALGO COUNTY,263
LA VILLA EARLY COLLEGE H S,La Villa,HIDALGO COUNTY,194
MONTE ALTO H S,Edcouch,HIDALGO COUNTY,275
VALLEY VIEW H S,Pharr,HIDALGO COUNTY,1193
VALLEY VIEW J J A E P,Pharr,HIDALGO COUNTY,0
HILLSBORO H S,Hillsboro,HILL COUNTY,533
ITASCA H S,Itasca,HILL COUNTY,179
WHITNEY H S,Whitney,HILL COUNTY,429
HILL COUNTY JJAEP,Hillsboro,HILL COUNTY,1
LEVELLAND H S,Levelland,HOCKLEY COUNTY,720
SUNDOWN H S,Sundown,HOCKLEY COUNTY,183
RACE (ROUGHNECK ALTERNATIVE CENTER FOR EDUCATION),Sundown,HOCKLEY COUNTY,0
GRANBURY H S,Granbury,HOOD COUNTY,2040
STARS ACCELERATED H S,Granbury,HOOD COUNTY,39
TOLAR H S,Tolar,HOOD COUNTY,250
SULPHUR SPRINGS H S,Sulphur Springs,HOPKINS COUNTY,1249
AUSTIN ACADEMIC CENTER,Sulphur Springs,HOPKINS COUNTY,0
CROCKETT H S,Crockett,HOUSTON COUNTY,375
GRAPELAND H S,Grapeland,HOUSTON COUNTY,169
BIG SPRING H S,Big Spring,HOWARD COUNTY,1112
COAHOMA H S,Coahoma,HOWARD COUNTY,264
FORT HANCOCK H S,Fort Hancock,HUDSPETH COUNTY,120
CADDO MILLS H S,Caddo Mills,HUNT COUNTY,555
CELESTE H S,Celeste,HUNT COUNTY,159
COMMERCE H S,Commerce,HUNT COUNTY,460
NEW HORIZONS LEARNING CENTER,Greenville,HUNT COUNTY,80
GREENVILLE H S,Greenville,HUNT COUNTY,1405
LONE OAK H S,Lone Oak,HUNT COUNTY,332
WH FORD H S,Quinlan,HUNT COUNTY,733
WOLFE CITY H S,Wolfe City,HUNT COUNTY,192
BLAND H S,Farmersville,HUNT COUNTY,212
BOLES H S,Quinlan,HUNT COUNTY,161
BORGER H S,Borger,HUTCHINSON COUNTY,774
SANFORD-FRITCH H S,Fritch,HUTCHINSON COUNTY,210
WEST TEXAS H S,Stinnett,HUTCHINSON COUNTY,198
JACKSBORO H S,Jacksboro,JACK COUNTY,291
EDNA H S,Edna,JACKSON COUNTY,397
GANADO H S,Ganado,JACKSON COUNTY,202
INDUSTRIAL H S,Vanderbilt,JACKSON COUNTY,374
BUNA H S,Buna,JASPER COUNTY,438
JASPER H S,Jasper,JASPER COUNTY,730
KIRBYVILLE H S,Kirbyville,JASPER COUNTY,379
EVADALE H S,Buna,JASPER COUNTY,131
TEKOA ACADEMY OF ACCELERATED STUDIES,Port Arthur,JEFFERSON COUNTY,95
BOB HOPE H S,Port Arthur,JEFFERSON COUNTY,469
NEDERLAND H S,Nederland,JEFFERSON COUNTY,1459
STILWELL TECH CTR/CATE,Port Arthur,JEFFERSON COUNTY,0
MEMORIAL H S,Port Arthur,JEFFERSON COUNTY,1937
PORT NECHES-GROVES H S,Port Neches,JEFFERSON COUNTY,1476
WEST BROOK SR H S,Beaumont,JEFFERSON COUNTY,2342
O C TAYLOR CTR,Beaumont,JEFFERSON COUNTY,0
PAUL A BROWN ALTERNATIVE CENTER,Beaumont,JEFFERSON COUNTY,116
BEAUMONT ISD EARLY COLLEGE H S,Beaumont,JEFFERSON COUNTY,338
BEAUMONT UNITED H S,Beaumont,JEFFERSON COUNTY,2231
HAMSHIRE-FANNETT H S,Hamshire,JEFFERSON COUNTY,582
HEBBRONVILLE H S,Hebbronville,JIM HOGG COUNTY,327
ALICE H S,Alice,JIM WELLS COUNTY,1276
ORANGE GROVE H S,Orange Grove,JIM WELLS COUNTY,518
ALVARADO H S,Alvarado,JOHNSON COUNTY,1121
BURLESON H S,Burleson,JOHNSON COUNTY,1649
CROSSROADS H S,Burleson,JOHNSON COUNTY,92
BURLESON CENTENNIAL H S,Burleson,JOHNSON COUNTY,2003
BURLESON COLLEGIATE H S,Burleson,JOHNSON COUNTY,241
CLEBURNE H S,Cleburne,JOHNSON COUNTY,1960
TEAM SCH,Cleburne,JOHNSON COUNTY,47
GRANDVIEW H S,Grandview,JOHNSON COUNTY,428
JOSHUA H S,Joshua,JOHNSON COUNTY,1128
NEW HORIZON H S,Joshua,JOHNSON COUNTY,34
KEENE H S,Keene,JOHNSON COUNTY,331
ALTER LEARNING CTR,Cleburne,JOHNSON COUNTY,8
RIO VISTA H S,Rio Vista,JOHNSON COUNTY,221
VENUS H S,Venus,JOHNSON COUNTY,638
GODLEY H S,Godley,JOHNSON COUNTY,665
ANSON H S,Anson,JONES COUNTY,219
HAWLEY H S,Hawley,JONES COUNTY,221
LUEDERS-AVOCA H S,Avoca,JONES COUNTY,29
STAMFORD H S,Stamford,JONES COUNTY,185
KARNES CITY H S,Karnes City,KARNES COUNTY,451
KENEDY H S,Kenedy,KARNES COUNTY,206
CRANDALL H S,Crandall,KAUFMAN COUNTY,1392
CRANDALL COMPASS ACADEMY,Crandall,KAUFMAN COUNTY,49
FORNEY H S,Forney,KAUFMAN COUNTY,1749
NORTH FORNEY H S,Forney,KAUFMAN COUNTY,2043
THE KEITH BELL CENTER,Forney,KAUFMAN COUNTY,0
KAUFMAN H S,Kaufman,KAUFMAN COUNTY,1180
GARY W CAMPBELL H S,Kaufman,KAUFMAN COUNTY,32
KEMP H S,Kemp,KAUFMAN COUNTY,449
MABANK H S,Mabank,KAUFMAN COUNTY,1013
TERRELL H S,Terrell,KAUFMAN COUNTY,1285
TERRELL ALTERNATIVE EDUCATION CENTER/PHOENIX SCH,Terrell,KAUFMAN COUNTY,11
SCURRY-ROSSER H S,Scurry,KAUFMAN COUNTY,334
BOERNE H S,Boerne,KENDALL COUNTY,1228
BOERNE - SAMUEL V CHAMPION H S,Boerne,KENDALL COUNTY,1883
COMFORT H S,Comfort,KENDALL COUNTY,324
CENTER POINT H S,Center Point,KERR COUNTY,156
TIVY H S,Kerrville,KERR COUNTY,1412
HILL COUNTRY H S,Kerrville,KERR COUNTY,39
INGRAM TOM MOORE H S,Ingram,KERR COUNTY,315
JUNCTION H S,Junction,KIMBLE COUNTY,161
BRACKETT H S,Brackettville,KINNEY COUNTY,157
H M KING H S,Kingsville,KLEBERG COUNTY,883
SANTA GERTRUDIS ACADEMY H S,Kingsville,KLEBERG COUNTY,360
CHISUM H S,Paris,LAMAR COUNTY,319
PARIS H S,Paris,LAMAR COUNTY,902
TRAVIS H S OF CHOICE,Paris,LAMAR COUNTY,43
NORTH LAMAR H S,Paris,LAMAR COUNTY,713
PRAIRILAND H S,Pattonville,LAMAR COUNTY,287
LITTLEFIELD H S,Littlefield,LAMB COUNTY,362
OLTON H S,Olton,LAMB COUNTY,186
LAMPASAS H S,Lampasas,LAMPASAS COUNTY,1012
LEON VALLEY,Gatesville,LAMPASAS COUNTY,27
COTULLA H S,Cotulla,LA SALLE COUNTY,375
HALLETTSVILLE H S,Hallettsville,LAVACA COUNTY,373
GIDDINGS H S,Giddings,LEE COUNTY,640
LEXINGTON H S,Lexington,LEE COUNTY,318
BUFFALO H S,Buffalo,LEON COUNTY,289
NORMANGEE H S,Normangee,LEON COUNTY,206
CLEVELAND H S,Cleveland,LIBERTY COUNTY,2262
FREDERICK A DOUGLASS LEARNING ACADEMY,Cleveland,LIBERTY COUNTY,49
DAYTON H S,Dayton,LIBERTY COUNTY,1506
FREDDA NOTTINGHAM ALTERNATIVE EDUCATION CENTER,Dayton,LIBERTY COUNTY,5
HARDIN H S,Liberty,LIBERTY COUNTY,338
HULL-DAISETTA H S,Daisetta,LIBERTY COUNTY,139
LIBERTY H S,Liberty,LIBERTY COUNTY,630
TARKINGTON H S,Cleveland,LIBERTY COUNTY,490
GROESBECK H S,Groesbeck,LIMESTONE COUNTY,431
MEXIA H S,Mexia,LIMESTONE COUNTY,531
GEORGE WEST H S,George West,LIVE OAK COUNTY,287
LLANO H S,Llano,LLANO COUNTY,510
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,Lubbock,LUBBOCK COUNTY,193
CORONADO H S,Lubbock,LUBBOCK COUNTY,2044
ESTACADO H S,Lubbock,LUBBOCK COUNTY,905
LUBBOCK H S,Lubbock,LUBBOCK COUNTY,1919
MONTEREY H S,Lubbock,LUBBOCK COUNTY,2153
NEW DEAL H S,Lubbock,LUBBOCK COUNTY,218
SLATON H S,Slaton,LUBBOCK COUNTY,386
LUBBOCK-COOPER H S,Lubbock,LUBBOCK COUNTY,1836
LUBBOCK-COOPER NEW HOPE ACADEMY,Lubbock,LUBBOCK COUNTY,103
2ND H S IN THE DISTRICT,Lubbock,LUBBOCK COUNTY,0
FRENSHIP H S,Wolfforth,LUBBOCK COUNTY,2871
ROOSEVELT H S,Lubbock,LUBBOCK COUNTY,294
SHALLOWATER H S,Shallowater,LUBBOCK COUNTY,465
IDALOU H S,Idalou,LUBBOCK COUNTY,298
TAHOKA H S,Tahoka,LYNN COUNTY,157
MADISONVILLE H S,Madisonville,MADISON COUNTY,642
JEFFERSON H S,Jefferson,MARION COUNTY,365
STANTON H S,Stanton,MARTIN COUNTY,257
MASON H S,Mason,MASON COUNTY,228
BAY CITY H S,Bay City,MATAGORDA COUNTY,991
TIDEHAVEN H S,Bay City,MATAGORDA COUNTY,261
PALACIOS H S,Palacios,MATAGORDA COUNTY,369
VAN VLECK H S,Van Vleck,MATAGORDA COUNTY,321
EAGLE PASS H S,Eagle Pass,MAVERICK COUNTY,2264
C C WINN H S,Eagle Pass,MAVERICK COUNTY,2092
BRADY H S,Brady,MCCULLOCH COUNTY,309
PAUL AND JANE MEYER PUBLIC H S,Waco,MCLENNAN COUNTY,182
MIDWAY H S,Woodway,MCLENNAN COUNTY,2499
LA VEGA H S,Waco,MCLENNAN COUNTY,936
LORENA HIGH,Lorena,MCLENNAN COUNTY,516
MART ACADEMIC ALERNATIVE PROGRAM,Mart,MCLENNAN COUNTY,4
MCGREGOR H S,Mc Gregor,MCLENNAN COUNTY,428
MOODY H S,Moody,MCLENNAN COUNTY,204
WACO H S,Waco,MCLENNAN COUNTY,2122
UNIVERSITY H S,Waco,MCLENNAN COUNTY,1763
WEST H S,West,MCLENNAN COUNTY,428
AXTELL H S,Axtell,MCLENNAN COUNTY,187
BRUCEVILLE-EDDY H S,Eddy,MCLENNAN COUNTY,210
AXTELL/BRUCEVILLE-EDDY LEARNING CENTER,Eddy,MCLENNAN COUNTY,3
CHINA SPRING H S,China Spring,MCLENNAN COUNTY,849
CONNALLY HIGH SCHOOL,Waco,MCLENNAN COUNTY,638
ROBINSON H S,Waco,MCLENNAN COUNTY,696
BOSQUEVILLE H S,Waco,MCLENNAN COUNTY,219
DEVINE H S,Devine,MEDINA COUNTY,576
NATALIA H S,Natalia,MEDINA COUNTY,308
HONDO H S,Hondo,MEDINA COUNTY,576
MEDINA VALLEY H S,Castroville,MEDINA COUNTY,1756
MENARD H S,Menard,MENARD COUNTY,80
LEGACY H S,Midland,MIDLAND COUNTY,2348
MIDLAND H S,Midland,MIDLAND COUNTY,2347
EARLY COLLEGE H S AT MIDLAND COLLEGE,Midland,MIDLAND COUNTY,384
GREENWOOD H S,Midland,MIDLAND COUNTY,744
CAMERON YOE H S,Cameron,MILAM COUNTY,476
MILANO H S,Milano,MILAM COUNTY,149
ROCKDALE H S,Rockdale,MILAM COUNTY,431
THORNDALE H S,Thorndale,MILAM COUNTY,220
GOLDTHWAITE H S,Goldthwaite,MILLS COUNTY,162
PECAN RIDGE H S,San Saba,MILLS COUNTY,43
COLORADO H S,Colorado City,MITCHELL COUNTY,211
BOWIE H S,Bowie,MONTAGUE COUNTY,497
NOCONA H S,Nocona,MONTAGUE COUNTY,258
CONROE H S,Conroe,MONTGOMERY COUNTY,4429
THE WOODLANDS H S,Spring,MONTGOMERY COUNTY,4309
OAK RIDGE H S,Conroe,MONTGOMERY COUNTY,2514
CANEY CREEK H S,Conroe,MONTGOMERY COUNTY,2159
COLLEGE PARK H S,Conroe,MONTGOMERY COUNTY,3133
MONTGOMERY H S,Montgomery,MONTGOMERY COUNTY,1516
LAKE CREEK H S,Montgomery,MONTGOMERY COUNTY,1463
WILLIS H S,Willis,MONTGOMERY COUNTY,2362
MAGNOLIA H S,Magnolia,MONTGOMERY COUNTY,2035
MAGNOLIA WEST H S,Magnolia,MONTGOMERY COUNTY,2099
ALPHA,Magnolia,MONTGOMERY COUNTY,65
SPLENDORA H S,Splendora,MONTGOMERY COUNTY,1240
NEW CANEY H S,New Caney,MONTGOMERY COUNTY,2131
PORTER H S,Porter,MONTGOMERY COUNTY,2218
INFINITY EARLY COLLEGE H S,Porter,MONTGOMERY COUNTY,395
WEST FORK H S,New Caney,MONTGOMERY COUNTY,0
DUMAS H S,Dumas,MOORE COUNTY,1098
SUNRAY H S,Sunray,MOORE COUNTY,146
DAINGERFIELD H S,Daingerfield,MORRIS COUNTY,316
PEWITT H S,Omaha,MORRIS COUNTY,248
CHIRENO H S,Chireno,NACOGDOCHES COUNTY,102
GARRISON H S,Garrison,NACOGDOCHES COUNTY,209
NACOGDOCHES H S,Nacogdoches,NACOGDOCHES COUNTY,1739
MARGIE CHUMBLEY ACADEMY FOR SUCCESS,Nacogdoches,NACOGDOCHES COUNTY,71
